Date,Open,High,Low,Close,Volume
6/22/2021,88.34,88.92,87.75,88.61,"630,604"
6/23/2021,88.4,88.55,87.1,87.14,"614,129"
6/24/2021,87.61,87.61,85.81,86.47,"608,459"
6/25/2021,86.23,87.54,86.23,87.48,"1,144,717"
6/28/2021,87.45,87.45,85.58,85.83,"738,446"
6/29/2021,85.54,86.31,85.08,85.11,"543,311"
6/30/2021,84.98,85.3,84.76,85.18,"561,795"
7/1/2021,85.36,86.4,85.21,86.19,"478,916"
7/2/2021,86.36,87.22,86.16,86.75,"410,571"
7/6/2021,86.75,87.28,85.6,87.15,"820,691"
7/7/2021,87.51,88.99,87.38,88.95,"557,534"
7/8/2021,88.06,88.93,87.71,88.27,"483,662"
7/9/2021,88.61,89.2,88.18,88.8,"475,874"
7/12/2021,88.75,89.29,88.39,88.93,"790,248"
7/13/2021,89.1,89.38,88.72,88.82,"628,569"
7/14/2021,88.94,89.04,88.33,88.85,"363,110"
7/15/2021,88.93,89.57,88.69,89.35,"600,368"
7/16/2021,89.32,89.88,88.97,89.45,"759,097"
7/19/2021,89.32,89.32,87.18,87.93,"577,413"
7/20/2021,87.93,89.75,87.9,89.19,"924,389"
7/21/2021,89.19,89.66,88.61,88.8,"380,022"
7/22/2021,88.8,88.91,88.49,88.78,"359,682"
7/23/2021,88.82,89.71,88.63,89.69,"663,923"
7/26/2021,89.45,89.99,89.33,89.79,"596,591"
7/27/2021,89.79,89.94,89.15,89.78,"833,769"
7/28/2021,89.8,90.3,89.02,89.92,"368,140"
7/29/2021,90.35,90.65,89.59,89.71,"436,910"
7/30/2021,87.63,88.16,85.09,85.81,"1,310,703"
8/2/2021,86.01,87.21,85.47,85.77,"810,390"
8/3/2021,85.89,85.94,82.68,82.76,"1,367,843"
8/4/2021,82.52,83.48,81.95,82,"1,165,815"
8/5/2021,81.85,83.07,81.66,82.01,"883,886"
8/6/2021,81.88,82.77,81.65,81.78,"696,121"
8/9/2021,81.63,81.8,80.89,80.97,"1,062,602"
8/10/2021,81.15,81.69,80.78,81.2,"689,706"
