Date,Open,High,Low,Close,Volume
11/3/2020,141.65,144.16,141.57,142.78,"5,137,741"
11/4/2020,141.57,144.39,141.34,141.96,"5,975,827"
11/5/2020,144,144.23,142.94,143.47,"4,734,235"
11/6/2020,144.36,146.22,143.55,145.77,"5,399,488"
11/9/2020,148,148.2,143.48,143.54,"9,399,524"
11/10/2020,143.75,146.44,143.53,145.56,"6,066,444"
11/11/2020,146.92,148.96,146.4,147.98,"6,268,607"
11/12/2020,148.48,148.71,147.1,148.23,"4,192,331"
11/13/2020,148.94,150.94,147.52,150.54,"6,603,838"
11/16/2020,150.53,153.4,149.28,152.44,"11,520,137"
11/17/2020,150.5,153.24,149.18,149.37,"14,237,213"
11/18/2020,149.86,151.67,149.05,149.09,"8,312,289"
11/19/2020,149.46,152.45,149.32,152.12,"6,196,868"
11/20/2020,151.17,152.76,149.81,150.24,"7,320,855"
11/23/2020,150.37,151.4,149.37,150.93,"6,185,714"
11/24/2020,151.74,151.98,150.27,151.36,"5,722,923"
11/25/2020,151.25,152.39,151.21,151.83,"4,611,107"
11/27/2020,152.15,152.72,151.1,151.6,"3,666,527"
11/30/2020,151.6,152.95,150.1,152.79,"10,898,518"
12/1/2020,153.6,153.66,151.66,152.64,"7,647,091"
12/2/2020,152,152.62,149.53,150.52,"7,849,016"
12/3/2020,150.28,150.28,148.39,149.3,"8,575,283"
12/4/2020,149.51,149.51,147.58,148.91,"6,963,068"
12/7/2020,148.46,148.99,147.16,148.11,"6,159,738"
12/8/2020,147.36,149.85,147.18,149.45,"6,905,454"
12/9/2020,150,150,147.89,148.27,"6,713,231"
12/10/2020,147.75,148.15,146.57,147.04,"6,884,118"
12/11/2020,146.92,147.51,145.94,147,"5,620,262"
12/14/2020,147.7,147.72,145.4,145.65,"8,362,652"
12/15/2020,145.52,146.36,144.86,145.58,"10,631,500"
12/16/2020,146.24,146.89,145.08,145.43,"8,550,348"
12/17/2020,146.06,146.44,145.15,146.1,"10,226,457"
12/18/2020,146.62,147.18,145.16,145.95,"13,794,744"
12/21/2020,145.5,146.67,145.06,145.97,"8,517,668"
12/22/2020,145.15,146.23,143.14,144.2,"12,554,057"
12/23/2020,143.54,144.22,142.3,143.22,"6,810,150"
12/24/2020,143.54,144.39,143.18,143.5,"3,018,157"
12/28/2020,144.04,145.3,143.33,145.22,"6,448,325"
12/29/2020,145.64,145.85,143.59,144.3,"5,979,380"
12/30/2020,144.88,145.15,143.94,144.18,"6,250,385"
